split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,82.2581451877895,16.4516290375579,1,1,L
test,SNGS-136,000597.jpg,4,4,82.75176594001103,20.687941485002757,2,2,L
test,SNGS-136,000674.jpg,4,3,72.16056734449961,24.053522448166536,1,2,L
test,SNGS-137,000001.jpg,1,1,10.57304891241077,10.57304891241077,0,0,L
test,SNGS-137,000065.jpg,1,1,7.65021489762408,7.65021489762408,0,0,L
test,SNGS-137,000130.jpg,1,1,11.179345692796835,11.179345692796835,0,0,L
test,SNGS-145,000650.jpg,5,5,93.23100424480604,18.646200848961207,2,2,L
test,SNGS-145,000683.jpg,3,3,33.86113101733372,11.287043672444574,0,0,L
test,SNGS-145,000717.jpg,2,2,15.501093663958732,7.750546831979366,0,0,L
test,SNGS-146,000550.jpg,5,5,73.98785046749695,14.797570093499392,1,1,L
test,SNGS-146,000617.jpg,4,4,58.478867581054374,14.619716895263593,1,1,L
test,SNGS-146,000684.jpg,3,3,47.308023413064134,15.769341137688045,0,0,L
test,SNGS-147,000001.jpg,3,3,29.666785630972896,9.888928543657633,0,0,L
test,SNGS-147,000087.jpg,3,3,32.45027383451847,10.81675794483949,0,0,L
test,SNGS-147,000173.jpg,3,3,50.31495642996933,16.77165214332311,0,0,L
test,SNGS-148,000636.jpg,5,5,97.72233486191655,19.54446697238331,2,2,L
test,SNGS-148,000649.jpg,5,5,97.23238521116316,19.446477042232633,2,2,L
test,SNGS-148,000662.jpg,5,5,101.5449476273515,20.308989525470302,2,2,L
test,SNGS-196,000117.jpg,5,5,128.65121233430227,25.730242466860453,4,4,L
test,SNGS-196,000133.jpg,6,5,144.9789545377834,28.99579090755668,4,5,L
test,SNGS-196,000150.jpg,6,5,143.11674052231774,28.62334810446355,4,5,L
valid,SNGS-022,000231.jpg,5,5,85.29959274971064,17.05991854994213,1,1,L
valid,SNGS-022,000235.jpg,5,5,80.32896231377559,16.06579246275512,0,0,L
valid,SNGS-022,000239.jpg,5,5,66.19837914979395,13.23967582995879,0,0,L
valid,SNGS-024,000072.jpg,5,5,132.41549593262593,26.483099186525187,4,4,L
valid,SNGS-024,000105.jpg,4,5,116.32095082129918,23.264190164259837,4,3,L
valid,SNGS-024,000128.jpg,5,5,126.96627734980078,25.393255469960156,3,3,L
valid,SNGS-054,000584.jpg,5,5,79.1203455397284,15.82406910794568,1,1,L
valid,SNGS-054,000611.jpg,5,5,68.08394033560427,13.616788067120854,1,1,L
valid,SNGS-054,000639.jpg,5,5,78.87479134852285,15.77495826970457,1,1,L
valid,SNGS-084,000706.jpg,5,5,148.82400284765677,29.764800569531353,4,4,L
valid,SNGS-084,000707.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000708.jpg,5,5,133.74883835423938,26.749767670847877,3,3,L
test,SNGS-120,000290.jpg,12,12,204.72579791788638,17.060483159823864,5,5,L
test,SNGS-123,000020.jpg,12,11,345.0,31.363636363636363,11,12,L
test,SNGS-126,000330.jpg,12,12,193.62019475391008,16.135016229492507,2,2,L
test,SNGS-135,000251.jpg,14,15,298.7067265324797,19.91378176883198,6,5,L
test,SNGS-136,000310.jpg,15,15,300.09267066590724,20.006178044393817,6,6,L
test,SNGS-142,000391.jpg,18,14,302.00544348005275,21.57181739143234,1,5,L
test,SNGS-146,000330.jpg,11,11,175.70177896715396,15.972888997013996,3,3,L
test,SNGS-147,000636.jpg,11,11,163.9049481307179,14.900449830065265,1,1,L
test,SNGS-148,000610.jpg,14,14,234.877693428866,16.776978102061857,4,4,L
test,SNGS-189,000446.jpg,11,11,247.0716311829396,22.461057380267235,5,5,L
test,SNGS-192,000106.jpg,8,11,128.82270639661138,11.711155126964671,3,0,L
test,SNGS-193,000227.jpg,15,15,352.9226796931167,23.52817864620778,7,7,L
valid,SNGS-024,000442.jpg,12,12,295.79720141026473,24.649766784188728,8,8,L
valid,SNGS-025,000281.jpg,13,15,420.0,28.0,15,13,L
valid,SNGS-026,000041.jpg,11,11,323.7929357989812,29.43572143627102,10,10,L
valid,SNGS-032,000153.jpg,10,11,217.44915738017164,19.76810521637924,5,4,L
valid,SNGS-036,000459.jpg,14,15,216.98880360162892,14.465920240108595,3,2,L
valid,SNGS-039,000378.jpg,18,15,353.9114843087867,23.594098953919115,4,7,L
valid,SNGS-041,000001.jpg,11,11,254.54954121495274,23.140867383177522,6,6,L
valid,SNGS-043,000042.jpg,16,15,318.6690411067655,21.244602740451036,8,9,L
valid,SNGS-044,000083.jpg,16,15,158.4277589673822,10.56185059782548,2,3,L
valid,SNGS-045,000197.jpg,13,12,244.44974552087132,20.370812126739278,4,5,L
valid,SNGS-046,000072.jpg,19,15,273.15654516442106,18.210436344294738,2,6,L
valid,SNGS-047,000590.jpg,17,15,352.8627636180679,23.524184241204527,6,8,L
valid,SNGS-053,000077.jpg,14,15,237.2028332577719,15.813522217184794,5,4,L
valid,SNGS-078,000001.jpg,13,13,277.88165065721273,21.375511589016362,6,6,L
valid,SNGS-083,000290.jpg,15,15,261.2572336216647,17.417148908110978,5,5,L
valid,SNGS-084,000272.jpg,14,15,239.09069714251737,15.939379809501158,5,4,L
valid,SNGS-091,000001.jpg,13,13,372.890360933279,28.68387391794454,12,12,L
valid,SNGS-092,000606.jpg,15,15,315.4503391761538,21.030022611743586,5,5,L
valid,SNGS-094,000654.jpg,15,15,272.64370233392685,18.176246822261792,6,6,L
test,SNGS-131,000001.jpg,15,17,446.88999776826347,26.28764692754491,15,13,L
test,SNGS-132,000452.jpg,16,18,242.15316731423403,13.452953739679668,4,2,L
test,SNGS-135,000001.jpg,20,19,290.41426773226476,15.284961459592882,2,3,L
test,SNGS-136,000303.jpg,15,16,384.07677913479813,24.004798695924883,11,10,L
test,SNGS-142,000001.jpg,11,16,385.3184366579536,24.0824022911221,15,10,L
test,SNGS-145,000001.jpg,21,18,233.29404444772362,12.960780247095757,3,6,L
test,SNGS-192,000168.jpg,16,17,261.3808265115395,15.375342735972913,4,3,L
test,SNGS-193,000001.jpg,18,18,285.28290631061714,15.849050350589842,1,1,L
test,SNGS-195,000532.jpg,17,16,225.0590622024519,14.066191387653245,2,3,L
test,SNGS-198,000001.jpg,19,19,402.97717990242705,21.209325258022478,9,9,L
test,SNGS-200,000225.jpg,15,17,268.46885617408685,15.792285657299226,6,4,L
valid,SNGS-021,000355.jpg,16,17,285.05127644838205,16.767722144022475,6,5,L
valid,SNGS-026,000188.jpg,17,16,449.854164697826,28.115885293614124,13,14,L
valid,SNGS-027,000001.jpg,19,19,404.83379514047607,21.30704184949874,10,10,L
valid,SNGS-031,000342.jpg,15,16,323.26870449629587,20.20429403101849,9,8,L
valid,SNGS-036,000424.jpg,20,23,345.8577885219191,15.037295153126916,8,5,L
valid,SNGS-043,000001.jpg,15,18,234.152943763061,13.00849687572561,6,3,L
valid,SNGS-044,000001.jpg,16,17,273.86033904246295,16.109431708380175,5,4,L
valid,SNGS-045,000273.jpg,15,16,305.75146108419847,19.109466317762404,5,4,L
valid,SNGS-046,000046.jpg,18,16,228.1797194252907,14.261232464080669,2,4,L
valid,SNGS-047,000384.jpg,17,17,409.50732792779354,24.08866634869374,9,9,L
valid,SNGS-050,000001.jpg,23,20,348.0180077294481,17.400900386472404,5,8,L
valid,SNGS-057,000001.jpg,17,20,512.2187427097856,25.61093713548928,17,14,L
valid,SNGS-078,000160.jpg,16,16,273.5882836776979,17.09926772985612,6,6,L
valid,SNGS-083,000271.jpg,15,17,243.08206349123034,14.298944911248844,5,3,L
valid,SNGS-084,000257.jpg,15,17,289.37932222757524,17.02231307221031,8,6,L
valid,SNGS-087,000056.jpg,17,16,418.31172513050734,26.14448282065671,11,12,L
valid,SNGS-089,000621.jpg,18,19,348.81998265893867,18.358946455733616,7,6,L
valid,SNGS-091,000233.jpg,13,16,306.7563366664701,19.17227104165438,9,6,L
valid,SNGS-092,000001.jpg,17,18,325.29005717922433,18.07166984329024,6,5,L
valid,SNGS-093,000001.jpg,17,17,478.430000685339,28.142941216784646,15,15,L
valid,SNGS-094,000518.jpg,19,17,370.24842889025257,21.779319346485444,7,9,L
test,SNGS-120,000305.jpg,10,10,151.42426024992116,15.142426024992115,2,2,L
test,SNGS-123,000001.jpg,12,10,326.49727488682015,32.64972748868202,9,11,L
test,SNGS-126,000001.jpg,9,9,193.9853971575037,21.553933017500412,5,5,L
test,SNGS-129,000313.jpg,11,10,272.7328147296977,27.273281472969767,6,7,L
test,SNGS-132,000576.jpg,10,10,83.53078898860937,8.353078898860938,0,0,L
test,SNGS-135,000361.jpg,12,10,226.555055722887,22.6555055722887,5,7,L
test,SNGS-136,000466.jpg,12,10,162.59832348334936,16.259832348334935,2,4,L
test,SNGS-145,000640.jpg,6,7,118.46338052115044,16.923340074450063,3,2,L
test,SNGS-146,000249.jpg,10,10,189.88855398353405,18.988855398353405,4,4,L
test,SNGS-147,000274.jpg,6,7,129.76891395168116,18.538416278811592,3,2,L
test,SNGS-148,000617.jpg,10,10,243.67506188415655,24.367506188415653,6,6,L
test,SNGS-189,000410.jpg,10,8,224.38107973855097,28.04763496731887,4,6,L
test,SNGS-192,000001.jpg,10,10,194.79495281499592,19.47949528149959,4,4,L
test,SNGS-193,000259.jpg,11,10,234.0648242724726,23.406482427247262,4,5,L
test,SNGS-196,000001.jpg,9,9,220.70085818198532,24.522317575776146,5,5,L
test,SNGS-200,000316.jpg,10,10,183.95250581909838,18.39525058190984,3,3,L
valid,SNGS-022,000060.jpg,7,8,130.17911078354103,16.27238884794263,3,2,L
valid,SNGS-024,000076.jpg,5,6,137.66805400582373,22.944675667637288,4,3,L
valid,SNGS-025,000304.jpg,8,9,255.0,28.333333333333332,9,8,L
valid,SNGS-026,000001.jpg,10,10,281.4646832098133,28.14646832098133,9,9,L
valid,SNGS-027,000366.jpg,10,10,300.0,30.0,10,10,L
valid,SNGS-031,000309.jpg,12,10,136.96597914556926,13.696597914556927,2,4,L
valid,SNGS-032,000001.jpg,7,7,167.53392023164494,23.933417175949277,4,4,L
valid,SNGS-036,000639.jpg,12,10,296.84989013539393,29.684989013539393,6,8,L
valid,SNGS-041,000023.jpg,10,10,284.6674305996436,28.466743059964358,8,8,L
valid,SNGS-047,000653.jpg,10,10,133.4518280774534,13.34518280774534,3,3,L
valid,SNGS-054,000577.jpg,6,6,110.40207652961537,18.400346088269227,2,2,L
valid,SNGS-078,000101.jpg,10,10,293.2115606084568,29.32115606084568,8,8,L
valid,SNGS-083,000503.jpg,10,10,218.27855930748996,21.827855930748996,5,5,L
valid,SNGS-083,000506.jpg,10,10,228.02963150151152,22.80296315015115,5,5,L
