split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,69.1171315202403,13.823426304048061,0,0,L
test,SNGS-136,000597.jpg,3,4,33.85591794880786,8.463979487201964,1,0,L
test,SNGS-136,000674.jpg,3,3,28.255984463789382,9.418661487929795,0,0,L
test,SNGS-137,000001.jpg,1,1,12.070883383372294,12.070883383372294,0,0,L
test,SNGS-137,000065.jpg,1,1,15.242423345012106,15.242423345012106,0,0,L
test,SNGS-137,000130.jpg,1,1,30.0,30.0,1,1,L
test,SNGS-145,000650.jpg,5,5,65.22059983155054,13.04411996631011,1,1,L
test,SNGS-145,000683.jpg,3,3,44.714685248431834,14.904895082810611,1,1,L
test,SNGS-145,000717.jpg,2,2,19.115136954106852,9.557568477053426,0,0,L
test,SNGS-146,000550.jpg,5,5,83.61301719881969,16.722603439763937,1,1,L
test,SNGS-146,000617.jpg,4,4,70.06480473697604,17.51620118424401,0,0,L
test,SNGS-146,000684.jpg,3,3,59.1317475329425,19.71058251098083,1,1,L
test,SNGS-147,000001.jpg,3,3,63.133747402506195,21.044582467502064,1,1,L
test,SNGS-147,000087.jpg,3,3,60.29912483845321,20.099708279484403,1,1,L
test,SNGS-147,000173.jpg,3,3,75.60711381638134,25.202371272127113,2,2,L
test,SNGS-148,000636.jpg,5,5,62.72402616142358,12.544805232284716,0,0,L
test,SNGS-148,000649.jpg,5,5,41.97938497013554,8.395876994027109,0,0,L
test,SNGS-148,000662.jpg,5,5,64.27584447514596,12.855168895029191,0,0,L
test,SNGS-196,000117.jpg,5,5,124.75287037868141,24.95057407573628,4,4,L
test,SNGS-196,000133.jpg,5,5,131.90170561658425,26.38034112331685,4,4,L
test,SNGS-196,000150.jpg,5,5,124.44433518253835,24.88886703650767,4,4,L
valid,SNGS-022,000231.jpg,5,5,49.128082037855535,9.825616407571108,0,0,L
valid,SNGS-022,000235.jpg,5,5,53.75141806420845,10.75028361284169,0,0,L
valid,SNGS-022,000239.jpg,5,5,51.03909775115283,10.207819550230566,0,0,L
valid,SNGS-024,000072.jpg,5,5,126.42193631545408,25.284387263090814,4,4,L
valid,SNGS-024,000105.jpg,4,5,97.00459453328247,19.400918906656493,1,0,L
valid,SNGS-024,000128.jpg,5,5,127.24624037627748,25.449248075255497,4,4,L
valid,SNGS-054,000584.jpg,4,5,59.92539515474331,11.985079030948663,1,0,L
valid,SNGS-054,000611.jpg,5,5,61.838878521118076,12.367775704223614,1,1,L
valid,SNGS-054,000639.jpg,5,5,75.55032381813393,15.110064763626786,1,1,L
valid,SNGS-084,000706.jpg,5,5,148.8413140388295,29.7682628077659,4,4,L
valid,SNGS-084,000707.jpg,5,5,148.8356139161134,29.767122783222682,4,4,L
