split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,147.5795749695914,29.51591499391828,4,4,L
test,SNGS-136,000597.jpg,3,4,99.33732108760053,24.834330271900132,3,2,L
test,SNGS-136,000674.jpg,2,3,75.0,25.0,3,2,L
test,SNGS-137,000001.jpg,1,1,30.0,30.0,1,1,L
test,SNGS-137,000065.jpg,1,1,30.0,30.0,1,1,L
test,SNGS-137,000130.jpg,1,1,22.128321225321173,22.128321225321173,0,0,L
test,SNGS-145,000650.jpg,5,5,108.69612513986404,21.739225027972807,2,2,L
test,SNGS-145,000683.jpg,3,3,71.69621755270977,23.89873918423659,2,2,L
test,SNGS-145,000717.jpg,2,2,57.22099628017917,28.610498140089586,1,1,L
test,SNGS-146,000550.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-146,000617.jpg,4,4,119.76670147319865,29.941675368299663,3,3,L
test,SNGS-146,000684.jpg,3,3,80.45578951557884,26.818596505192946,2,2,L
test,SNGS-147,000001.jpg,3,3,86.35169279363768,28.78389759787923,2,2,L
test,SNGS-147,000087.jpg,3,3,86.73195775116606,28.910652583722023,2,2,L
test,SNGS-147,000173.jpg,3,3,82.71702953977675,27.572343179925582,1,1,L
test,SNGS-148,000636.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-148,000649.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000662.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-196,000117.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-196,000133.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-196,000150.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-022,000231.jpg,4,5,106.51889109113893,21.303778218227784,3,2,L
valid,SNGS-022,000235.jpg,4,5,111.30080185023557,22.260160370047114,4,3,L
valid,SNGS-022,000239.jpg,4,5,115.28543227910752,23.057086455821505,4,3,L
valid,SNGS-024,000072.jpg,3,5,105.60333414846882,21.120666829693764,4,2,L
valid,SNGS-024,000105.jpg,3,5,120.0,24.0,5,3,L
valid,SNGS-024,000128.jpg,3,5,107.8317765738599,21.56635531477198,4,2,L
valid,SNGS-054,000584.jpg,4,5,134.5617846416609,26.91235692833218,4,3,L
valid,SNGS-054,000611.jpg,5,5,135.27151750291765,27.05430350058353,4,4,L
valid,SNGS-054,000639.jpg,5,5,133.77731491815888,26.755462983631777,4,4,L
valid,SNGS-084,000706.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000707.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000708.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-120,000290.jpg,8,12,203.04753147862957,16.92062762321913,5,1,L
test,SNGS-123,000020.jpg,10,11,249.390313370321,22.671846670029183,7,6,L
test,SNGS-126,000330.jpg,9,12,179.29046871627185,14.940872393022653,5,2,L
test,SNGS-135,000251.jpg,9,15,304.2519642520597,20.283464283470646,12,6,L
test,SNGS-136,000310.jpg,10,15,270.1282954419113,18.008553029460753,10,5,L
test,SNGS-142,000391.jpg,10,14,301.94559688614066,21.567542634724333,11,7,L
test,SNGS-146,000330.jpg,9,11,232.32248656083192,21.12022605098472,7,5,L
test,SNGS-147,000636.jpg,9,11,194.43933212872182,17.676302920792892,5,3,L
test,SNGS-148,000610.jpg,11,14,290.4675003150708,20.74767859393363,9,6,L
test,SNGS-189,000446.jpg,9,11,275.8020038458249,25.07290944052954,7,5,L
test,SNGS-192,000106.jpg,8,11,226.63230123610165,20.60293647600924,5,2,L
test,SNGS-193,000227.jpg,11,15,366.94301433624764,24.46286762241651,13,9,L
valid,SNGS-024,000442.jpg,9,12,259.3670643375613,21.61392202813011,9,6,L
valid,SNGS-025,000281.jpg,11,15,367.8550993635804,24.52367329090536,12,8,L
valid,SNGS-026,000041.jpg,6,11,222.0766839009254,20.18878944553867,9,4,L
valid,SNGS-032,000153.jpg,9,11,206.2482855510479,18.749844141004356,6,4,L
valid,SNGS-036,000459.jpg,11,15,257.041860520111,17.13612403467407,8,4,L
