split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-136,000597.jpg,3,4,105.0,26.25,4,3,L
test,SNGS-136,000674.jpg,3,3,72.23688912795991,24.078963042653303,2,2,L
test,SNGS-137,000001.jpg,1,1,7.919885135209757,7.919885135209757,0,0,L
test,SNGS-137,000065.jpg,1,1,3.706193261511385,3.706193261511385,0,0,L
test,SNGS-137,000130.jpg,3,1,50.466408640609885,50.466408640609885,0,2,L
test,SNGS-145,000650.jpg,5,5,124.93231872059276,24.986463744118552,4,4,L
test,SNGS-145,000683.jpg,3,3,68.40031334838899,22.800104449462996,1,1,L
test,SNGS-145,000717.jpg,2,2,33.25661009536507,16.628305047682534,0,0,L
test,SNGS-146,000550.jpg,4,5,110.45314760744117,22.090629521488232,3,2,L
test,SNGS-146,000617.jpg,4,4,120.0,30.0,4,4,L
test,SNGS-146,000684.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-147,000001.jpg,3,3,49.77929957518251,16.593099858394172,1,1,L
test,SNGS-147,000087.jpg,2,3,75.0,25.0,3,2,L
test,SNGS-147,000173.jpg,2,3,72.57629420792831,24.192098069309438,2,1,L
test,SNGS-148,000636.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000649.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000662.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-196,000117.jpg,6,5,109.28222636187975,21.85644527237595,2,3,L
test,SNGS-196,000133.jpg,5,5,128.21308257159006,25.642616514318014,2,2,L
test,SNGS-196,000150.jpg,5,5,134.94618190094945,26.98923638018989,3,3,L
valid,SNGS-022,000231.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-022,000235.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-022,000239.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-024,000072.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-024,000105.jpg,2,5,105.0,21.0,5,2,L
valid,SNGS-024,000128.jpg,5,5,147.28780452849773,29.457560905699545,4,4,L
valid,SNGS-054,000584.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-054,000611.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-054,000639.jpg,5,5,129.20496415742392,25.840992831484783,4,4,L
valid,SNGS-084,000706.jpg,3,5,120.0,24.0,5,3,L
valid,SNGS-084,000707.jpg,4,5,125.51035203674095,25.10207040734819,3,2,L
valid,SNGS-084,000708.jpg,3,5,120.0,24.0,5,3,L
test,SNGS-120,000290.jpg,11,12,247.6686500064556,20.639054167204634,5,4,L
test,SNGS-123,000020.jpg,11,11,330.0,30.0,11,11,L
test,SNGS-126,000330.jpg,9,12,302.2802058344005,25.190017152866705,10,7,L
test,SNGS-135,000251.jpg,12,15,405.0,27.0,15,12,L
test,SNGS-136,000310.jpg,11,15,390.0,26.0,15,11,L
test,SNGS-142,000391.jpg,13,14,303.29282969278734,21.66377354948481,8,7,L
test,SNGS-146,000330.jpg,20,11,384.52237129364323,34.95657920851302,5,14,L
test,SNGS-147,000636.jpg,13,11,316.67401958539733,28.78854723503612,7,9,L
test,SNGS-148,000610.jpg,12,14,390.0,27.857142857142858,14,12,L
test,SNGS-189,000446.jpg,9,11,261.6874085754469,23.78976441594972,9,7,L
test,SNGS-192,000106.jpg,10,11,265.6709744284475,24.1519067662225,8,7,L
test,SNGS-193,000227.jpg,15,15,389.7542585687753,25.983617237918352,9,9,L
valid,SNGS-024,000442.jpg,9,12,288.58652043596214,24.048876702996846,9,6,L
valid,SNGS-025,000281.jpg,14,15,398.7485463859063,26.583236425727087,12,11,L
valid,SNGS-026,000041.jpg,10,11,228.11369417693254,20.73760856153932,6,5,L
