split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,81.11467008902771,16.222934017805542,1,1,L
test,SNGS-136,000597.jpg,3,4,29.657507304484593,7.414376826121148,1,0,L
test,SNGS-136,000674.jpg,4,3,76.7382956014257,25.579431867141903,1,2,L
test,SNGS-137,000001.jpg,1,1,1.2522866164085702,1.2522866164085702,0,0,L
test,SNGS-137,000065.jpg,1,1,8.303090017666321,8.303090017666321,0,0,L
test,SNGS-137,000130.jpg,1,1,10.834451145147245,10.834451145147245,0,0,L
test,SNGS-145,000650.jpg,5,5,96.98210473474768,19.396420946949537,2,2,L
test,SNGS-145,000683.jpg,3,3,37.05771271085278,12.352570903617595,0,0,L
test,SNGS-145,000717.jpg,2,2,13.468946049199445,6.734473024599723,0,0,L
test,SNGS-146,000550.jpg,5,5,67.01222596057691,13.402445192115383,1,1,L
test,SNGS-146,000617.jpg,4,4,62.01425136475035,15.503562841187588,0,0,L
test,SNGS-146,000684.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-147,000001.jpg,3,3,34.166967969357955,11.388989323119318,0,0,L
test,SNGS-147,000087.jpg,3,3,32.54864055489352,10.849546851631173,0,0,L
test,SNGS-147,000173.jpg,3,3,35.60882358384836,11.869607861282788,0,0,L
test,SNGS-148,000636.jpg,5,5,61.76395728941054,12.352791457882109,0,0,L
test,SNGS-148,000649.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000662.jpg,5,5,52.03147133697246,10.406294267394491,0,0,L
test,SNGS-196,000117.jpg,4,5,111.84534069131983,22.369068138263966,4,3,L
test,SNGS-196,000133.jpg,5,5,124.77965006203934,24.95593001240787,4,4,L
test,SNGS-196,000150.jpg,5,5,127.3124798567819,25.462495971356383,4,4,L
valid,SNGS-022,000231.jpg,5,5,40.10279224215504,8.020558448431007,0,0,L
valid,SNGS-022,000235.jpg,5,5,29.031721128005238,5.806344225601047,0,0,L
valid,SNGS-022,000239.jpg,5,5,42.61524181930099,8.523048363860198,0,0,L
valid,SNGS-024,000072.jpg,5,5,115.75184147316222,23.150368294632443,3,3,L
valid,SNGS-024,000105.jpg,4,5,109.9169023981151,21.98338047962302,4,3,L
valid,SNGS-024,000128.jpg,5,5,127.01662718639994,25.40332543727999,3,3,L
valid,SNGS-054,000584.jpg,4,5,64.53253574442833,12.906507148885666,1,0,L
valid,SNGS-054,000611.jpg,5,5,56.455198262082945,11.29103965241659,1,1,L
valid,SNGS-054,000639.jpg,6,5,55.98522627574535,11.19704525514907,0,1,L
valid,SNGS-084,000706.jpg,5,5,143.7025880174949,28.74051760349898,3,3,L
valid,SNGS-084,000707.jpg,6,5,154.45045728419606,30.89009145683921,3,4,L
valid,SNGS-084,000708.jpg,5,5,139.96583864715123,27.993167729430247,3,3,L
test,SNGS-120,000290.jpg,13,12,219.58985895511597,18.29915491292633,4,5,L
test,SNGS-123,000020.jpg,10,11,315.0,28.636363636363637,11,10,L
test,SNGS-126,000330.jpg,12,12,176.54588811970495,14.712157343308746,2,2,L
test,SNGS-135,000251.jpg,12,15,198.5463907860185,13.236426052401233,3,0,L
test,SNGS-136,000310.jpg,13,15,238.45370958486762,15.896913972324509,4,2,L
test,SNGS-142,000391.jpg,12,14,161.13176586244512,11.509411847317509,2,0,L
test,SNGS-146,000330.jpg,10,11,315.0,28.636363636363637,11,10,L
test,SNGS-147,000636.jpg,10,11,164.9868684834491,14.9988062257681,2,1,L
test,SNGS-148,000610.jpg,12,14,176.31778908448095,12.594127791748639,3,1,L
test,SNGS-189,000446.jpg,11,11,266.9413326513496,24.26739387739542,6,6,L
test,SNGS-192,000106.jpg,8,11,140.03329416635108,12.73029946966828,3,0,L
test,SNGS-193,000227.jpg,12,15,105.41352829303017,7.0275685528686775,3,0,L
valid,SNGS-024,000442.jpg,10,12,225.59483342588004,18.79956945215667,5,3,L
