split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,6,5,165.0,33.0,5,6,L
test,SNGS-136,000597.jpg,3,4,59.72069383465147,14.930173458662868,1,0,L
test,SNGS-136,000674.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-137,000001.jpg,10,1,152.63553921420964,152.63553921420964,0,9,L
test,SNGS-137,000065.jpg,3,1,33.73185236112998,33.73185236112998,0,2,L
test,SNGS-137,000130.jpg,3,1,60.0,60.0,1,3,L
test,SNGS-145,000650.jpg,7,5,150.48420762415427,30.096841524830854,3,5,L
test,SNGS-145,000683.jpg,4,3,67.68071557941087,22.56023852647029,1,2,L
test,SNGS-145,000717.jpg,5,2,74.62836410583503,37.314182052917516,0,3,L
test,SNGS-146,000550.jpg,5,5,110.73064753017775,22.14612950603555,1,1,L
test,SNGS-146,000617.jpg,5,4,135.0,33.75,4,5,L
test,SNGS-146,000684.jpg,4,3,105.0,35.0,3,4,L
test,SNGS-147,000001.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-147,000087.jpg,3,3,83.507102399033,27.835700799677667,2,2,L
test,SNGS-147,000173.jpg,4,3,105.0,35.0,3,4,L
test,SNGS-148,000636.jpg,7,5,99.32512857869732,19.865025715739463,1,3,L
test,SNGS-148,000649.jpg,6,5,54.27378511309348,10.854757022618696,0,1,L
test,SNGS-148,000662.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-196,000117.jpg,17,5,305.4396771368256,61.08793542736512,3,15,L
test,SNGS-196,000133.jpg,11,5,158.33618070726854,31.667236141453706,1,7,L
test,SNGS-196,000150.jpg,8,5,195.0,39.0,5,8,L
valid,SNGS-022,000231.jpg,7,5,172.96497452323536,34.59299490464707,4,6,L
valid,SNGS-022,000235.jpg,8,5,131.9519452571884,26.390389051437683,2,5,L
valid,SNGS-022,000239.jpg,7,5,127.77284341140003,25.554568682280006,3,5,L
valid,SNGS-024,000072.jpg,8,5,137.74740242907257,27.549480485814513,1,4,L
valid,SNGS-024,000105.jpg,7,5,174.66982341552279,34.933964683104556,4,6,L
valid,SNGS-024,000128.jpg,7,5,179.88959445608924,35.97791889121785,4,6,L
valid,SNGS-054,000584.jpg,5,5,106.51712539327058,21.303425078654115,2,2,L
valid,SNGS-054,000611.jpg,6,5,165.0,33.0,5,6,L
