split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,75,5,1200.0,240.0,5,75,L
test,SNGS-136,000597.jpg,0,4,60.0,15.0,4,0,L
test,SNGS-136,000674.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-137,000001.jpg,1,1,27.92758898571585,27.92758898571585,0,0,L
test,SNGS-137,000065.jpg,0,1,15.0,15.0,1,0,L
test,SNGS-137,000130.jpg,0,1,15.0,15.0,1,0,L
test,SNGS-145,000650.jpg,5,5,128.7900460441005,25.758009208820102,3,3,L
test,SNGS-145,000683.jpg,3,3,76.20253876426926,25.40084625475642,2,2,L
test,SNGS-145,000717.jpg,2,2,39.97745801917324,19.98872900958662,1,1,L
test,SNGS-146,000550.jpg,4,5,127.23311477383541,25.446622954767083,4,3,L
test,SNGS-146,000617.jpg,5,4,135.0,33.75,4,5,L
test,SNGS-146,000684.jpg,0,3,45.0,15.0,3,0,L
test,SNGS-147,000001.jpg,3,3,78.29370291619563,26.097900972065208,1,1,L
test,SNGS-147,000087.jpg,2,3,59.60000468604606,19.86666822868202,1,0,L
test,SNGS-147,000173.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-148,000636.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-148,000649.jpg,0,5,75.0,15.0,5,0,L
test,SNGS-148,000662.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-196,000117.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-196,000133.jpg,4,5,135.0,27.0,5,4,L
test,SNGS-196,000150.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-022,000231.jpg,0,5,75.0,15.0,5,0,L
valid,SNGS-022,000235.jpg,5,5,121.88165255241542,24.376330510483083,3,3,L
valid,SNGS-022,000239.jpg,6,5,122.6132055553239,24.52264111106478,2,3,L
valid,SNGS-024,000072.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-024,000105.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-024,000128.jpg,6,5,165.0,33.0,5,6,L
valid,SNGS-054,000584.jpg,5,5,134.01164556797568,26.802329113595135,3,3,L
valid,SNGS-054,000611.jpg,6,5,131.96423936740413,26.392847873480825,2,3,L
valid,SNGS-054,000639.jpg,101,5,1580.3041626660545,316.0608325332109,3,99,L
valid,SNGS-084,000706.jpg,11,5,240.0,48.0,5,11,L
valid,SNGS-084,000707.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000708.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-120,000290.jpg,11,12,175.0592937690039,14.588274480750323,4,3,L
test,SNGS-123,000020.jpg,9,11,243.20095993529722,22.109178175936112,8,6,L
test,SNGS-126,000330.jpg,21,12,338.5099369799721,28.209161414997677,2,11,L
test,SNGS-135,000251.jpg,30,15,621.4761888314222,41.43174592209481,8,23,L
test,SNGS-136,000310.jpg,21,15,437.1189919307898,29.14126612871932,7,13,L
test,SNGS-142,000391.jpg,20,14,464.7632831373793,33.19737736695566,7,13,L
test,SNGS-146,000330.jpg,9,11,216.4570737759609,19.677915797814627,7,5,L
test,SNGS-147,000636.jpg,0,11,165.0,15.0,11,0,L
test,SNGS-148,000610.jpg,10,14,316.54926771555506,22.610661979682504,10,6,L
test,SNGS-189,000446.jpg,32,11,478.6742312935613,43.515839208505575,2,23,L
test,SNGS-192,000106.jpg,10,11,241.4627632899326,21.951160299084783,7,6,L
test,SNGS-193,000227.jpg,22,15,419.5987412607066,27.97324941738044,7,14,L
valid,SNGS-024,000442.jpg,40,12,558.1263845899848,46.5105320491654,0,28,L
valid,SNGS-025,000281.jpg,27,15,524.9760929909334,34.99840619939555,9,21,L
valid,SNGS-026,000041.jpg,28,11,451.9116939530634,41.082881268460305,4,21,L
valid,SNGS-032,000153.jpg,0,11,165.0,15.0,11,0,L
valid,SNGS-036,000459.jpg,12,15,241.85598527197413,16.12373235146494,7,4,L
valid,SNGS-039,000378.jpg,42,15,718.3484830156096,47.88989886770731,2,29,L
valid,SNGS-041,000001.jpg,10,11,263.42336219072394,23.947578380974903,6,5,L
valid,SNGS-043,000042.jpg,21,15,506.3837579964395,33.758917199762635,9,15,L
valid,SNGS-044,000083.jpg,20,15,369.78285588354186,24.652190392236125,7,12,L
valid,SNGS-045,000197.jpg,10,12,221.54349152236816,18.461957626864013,6,4,L
valid,SNGS-046,000072.jpg,28,15,438.19462131438115,29.212974754292077,3,16,L
valid,SNGS-047,000590.jpg,16,15,427.1152403495018,28.474349356633454,12,13,L
valid,SNGS-053,000077.jpg,43,15,587.906460588661,39.19376403924407,0,28,L
valid,SNGS-078,000001.jpg,42,13,646.7216369412981,49.7478182262537,2,31,L
valid,SNGS-083,000290.jpg,21,15,352.091382522578,23.472758834838533,5,11,L
valid,SNGS-084,000272.jpg,22,15,452.54533168594673,30.169688779063115,9,16,L
valid,SNGS-091,000001.jpg,0,13,195.0,15.0,13,0,L
valid,SNGS-092,000606.jpg,18,15,349.9622992858033,23.330819952386886,7,10,L
valid,SNGS-094,000654.jpg,21,15,506.8024645716384,33.78683097144256,9,15,L
test,SNGS-131,000001.jpg,14,17,351.38544488946127,20.66973205232125,11,8,L
test,SNGS-132,000452.jpg,0,18,270.0,15.0,18,0,L
test,SNGS-135,000001.jpg,60,19,1078.5861976549518,56.76769461341851,5,46,L
test,SNGS-136,000303.jpg,20,16,431.7509342298032,26.9844333893627,8,12,L
test,SNGS-142,000001.jpg,0,16,240.0,15.0,16,0,L
test,SNGS-145,000001.jpg,42,18,845.2520399079673,46.95844666155374,9,33,L
test,SNGS-192,000168.jpg,38,17,545.0102735664211,32.0594278568483,1,22,L
test,SNGS-193,000001.jpg,0,18,270.0,15.0,18,0,L
test,SNGS-195,000532.jpg,19,16,399.7120607234518,24.98200379521574,9,12,L
test,SNGS-198,000001.jpg,102,19,1716.2453643550996,90.32870338711051,10,93,L
test,SNGS-200,000225.jpg,60,17,876.355618627875,51.550330507522055,0,43,L
valid,SNGS-021,000355.jpg,18,17,320.8004242959612,18.87061319388007,5,6,L
valid,SNGS-026,000188.jpg,40,16,602.5064361075107,37.65665225671942,4,28,L
valid,SNGS-027,000001.jpg,66,19,1124.6120626500776,59.190108560530405,4,51,L
valid,SNGS-031,000342.jpg,23,16,501.1920063759439,31.324500398496493,8,15,L
valid,SNGS-036,000424.jpg,104,23,1621.2707713540337,70.49003353713191,4,85,L
