split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-136,000597.jpg,4,4,109.29190805789284,27.32297701447321,3,3,L
test,SNGS-136,000674.jpg,3,3,83.23420395635647,27.744734652118822,2,2,L
test,SNGS-137,000001.jpg,1,1,26.908088946152034,26.908088946152034,0,0,L
test,SNGS-137,000065.jpg,1,1,25.324539010761754,25.324539010761754,0,0,L
test,SNGS-137,000130.jpg,1,1,9.184154170276303,9.184154170276303,0,0,L
test,SNGS-145,000650.jpg,5,5,118.62099341703386,23.724198683406772,3,3,L
test,SNGS-145,000683.jpg,3,3,75.73634748272833,25.245449160909445,1,1,L
test,SNGS-145,000717.jpg,2,2,54.65871576490373,27.329357882451866,1,1,L
test,SNGS-146,000550.jpg,5,5,125.26428471785044,25.052856943570088,2,2,L
test,SNGS-146,000617.jpg,4,4,117.87830594294306,29.469576485735764,3,3,L
test,SNGS-146,000684.jpg,3,3,88.7602530415849,29.586751013861633,2,2,L
test,SNGS-147,000001.jpg,3,3,84.78799609995629,28.262665366652097,2,2,L
test,SNGS-147,000087.jpg,3,3,83.522840782654,27.840946927551332,1,1,L
test,SNGS-147,000173.jpg,4,3,96.05687687254914,32.01895895751638,2,3,L
test,SNGS-148,000636.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000649.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000662.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-196,000117.jpg,6,5,165.0,33.0,5,6,L
test,SNGS-196,000133.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-196,000150.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-022,000231.jpg,4,5,95.24078480117771,19.04815696023554,3,2,L
valid,SNGS-022,000235.jpg,5,5,116.65000683905923,23.330001367811846,3,3,L
valid,SNGS-022,000239.jpg,4,5,135.0,27.0,5,4,L
valid,SNGS-024,000072.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-024,000105.jpg,4,5,130.78728471267559,26.157456942535116,4,3,L
valid,SNGS-024,000128.jpg,6,5,165.0,33.0,5,6,L
valid,SNGS-054,000584.jpg,4,5,110.7333770995154,22.14667541990308,2,1,L
valid,SNGS-054,000611.jpg,10,5,167.96626367855723,33.593252735711445,1,6,L
valid,SNGS-054,000639.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000706.jpg,6,5,165.0,33.0,5,6,L
valid,SNGS-084,000707.jpg,6,5,161.07895080902483,32.21579016180497,4,5,L
valid,SNGS-084,000708.jpg,6,5,165.0,33.0,5,6,L
test,SNGS-120,000290.jpg,11,12,228.06744674084024,19.005620561736688,5,4,L
test,SNGS-123,000020.jpg,10,11,220.4156306754672,20.037784606860654,7,6,L
test,SNGS-126,000330.jpg,66,12,966.5623207335717,80.54686006113097,3,57,L
test,SNGS-135,000251.jpg,13,15,420.0,28.0,15,13,L
test,SNGS-136,000310.jpg,21,15,406.34735089776484,27.08982339318432,8,14,L
test,SNGS-142,000391.jpg,15,14,405.03515555147095,28.931082539390783,10,11,L
test,SNGS-146,000330.jpg,16,11,322.4640099796261,29.314909998147826,6,11,L
test,SNGS-147,000636.jpg,9,11,272.86614489791805,24.806013172538005,8,6,L
test,SNGS-148,000610.jpg,21,14,422.57648863839506,30.184034902742503,5,12,L
test,SNGS-189,000446.jpg,23,11,340.6562391995708,30.9687490181428,1,13,L
test,SNGS-192,000106.jpg,10,11,235.56351575687376,21.414865068806705,3,2,L
test,SNGS-193,000227.jpg,25,15,464.5987412607066,30.97324941738044,7,17,L
valid,SNGS-024,000442.jpg,12,12,295.5337148656048,24.62780957213373,7,7,L
valid,SNGS-025,000281.jpg,19,15,448.8609570602674,29.924063804017827,10,14,L
valid,SNGS-026,000041.jpg,9,11,250.17726900222368,22.743388091111242,8,6,L
valid,SNGS-032,000153.jpg,23,11,326.1776733276285,29.652515757057134,2,14,L
valid,SNGS-036,000459.jpg,14,15,298.0104245735014,19.867361638233426,6,5,L
valid,SNGS-039,000378.jpg,16,15,402.90438624604576,26.860292416403052,10,11,L
valid,SNGS-041,000001.jpg,14,11,283.1375455407246,25.739776867338602,5,8,L
valid,SNGS-043,000042.jpg,16,15,411.3236069372367,27.42157379581578,9,10,L
valid,SNGS-044,000083.jpg,36,15,739.3045693632351,49.28697129088234,12,33,L
valid,SNGS-045,000197.jpg,22,12,441.17183543973636,36.76431961997803,7,17,L
valid,SNGS-046,000072.jpg,29,15,498.767337534526,33.25115583563507,3,17,L
valid,SNGS-047,000590.jpg,10,15,367.6009042382492,24.506726949216613,14,9,L
valid,SNGS-053,000077.jpg,27,15,473.8265755605602,31.58843837070401,5,17,L
valid,SNGS-078,000001.jpg,15,13,385.92344743270417,29.686419033284935,11,13,L
valid,SNGS-083,000290.jpg,21,15,340.7152033851768,22.71434689234512,4,10,L
valid,SNGS-084,000272.jpg,22,15,279.2644401540739,18.617629343604925,2,9,L
valid,SNGS-091,000001.jpg,13,13,353.0722024541086,27.159400188777585,7,7,L
valid,SNGS-092,000606.jpg,21,15,453.9539542646597,30.263596950977316,5,11,L
valid,SNGS-094,000654.jpg,21,15,444.51359925710847,29.634239950473898,6,12,L
test,SNGS-131,000001.jpg,53,17,853.7168493951431,50.2186381997143,4,40,L
test,SNGS-132,000452.jpg,11,18,309.67385157828244,17.204102865460136,11,4,L
test,SNGS-135,000001.jpg,99,19,1298.8772639993451,68.36196126312343,0,80,L
test,SNGS-136,000303.jpg,11,16,390.5825880798327,24.411411754989544,15,10,L
test,SNGS-142,000001.jpg,51,16,1005.0,62.8125,16,51,L
test,SNGS-145,000001.jpg,33,18,542.8658642564857,30.15921468091587,7,22,L
test,SNGS-192,000168.jpg,22,17,466.60071580963097,27.44710092997829,8,13,L
test,SNGS-193,000001.jpg,68,18,1095.7256656308653,60.87364809060362,5,55,L
test,SNGS-195,000532.jpg,50,16,877.305569016325,54.83159806352031,6,40,L
test,SNGS-198,000001.jpg,16,19,434.92672114599566,22.89088006031556,13,10,L
test,SNGS-200,000225.jpg,27,17,466.95299220505046,27.46782307088532,6,16,L
valid,SNGS-021,000355.jpg,21,17,395.9096792184071,23.2888046599063,7,11,L
valid,SNGS-026,000188.jpg,21,16,555.0,34.6875,16,21,L
valid,SNGS-027,000001.jpg,50,19,676.4560435379067,35.60294965988982,0,31,L
valid,SNGS-031,000342.jpg,22,16,344.19347669087364,21.512092293179602,5,11,L
valid,SNGS-036,000424.jpg,53,23,1099.8451118999806,47.8193526913035,20,50,L
valid,SNGS-043,000001.jpg,28,18,475.70188876915563,26.427882709397537,6,16,L
valid,SNGS-044,000001.jpg,23,17,350.90104712093114,20.641238065937127,3,9,L
valid,SNGS-045,000273.jpg,11,16,284.41603581697666,17.77600223856104,9,4,L
valid,SNGS-046,000046.jpg,28,16,429.101838841311,26.818864927581938,5,17,L
valid,SNGS-047,000384.jpg,46,17,686.2622833707433,40.36836961004372,2,31,L
valid,SNGS-050,000001.jpg,50,20,1001.1151828268908,50.05575914134454,6,36,L
valid,SNGS-057,000001.jpg,56,20,1110.1705317983885,55.50852658991943,16,52,L
valid,SNGS-078,000160.jpg,26,16,453.60385469891366,28.350240918682104,7,17,L
valid,SNGS-083,000271.jpg,21,17,392.50961049179557,23.088800617164445,5,9,L
valid,SNGS-084,000257.jpg,13,17,364.15980251609164,21.421164853887745,10,6,L
valid,SNGS-087,000056.jpg,31,16,641.7059328579021,40.10662080361888,9,24,L
valid,SNGS-089,000621.jpg,18,19,477.8681648839352,25.150956046522907,12,11,L
valid,SNGS-091,000233.jpg,28,16,634.4582607219061,39.65364129511913,15,27,L
valid,SNGS-092,000001.jpg,17,18,430.7459127044817,23.93032848358232,11,10,L
valid,SNGS-093,000001.jpg,53,17,841.8321211896376,49.51953654056692,3,39,L
valid,SNGS-094,000518.jpg,21,17,513.7792594699954,30.222309380587966,10,14,L
test,SNGS-120,000305.jpg,10,10,291.0198794089613,29.10198794089613,8,8,L
test,SNGS-123,000001.jpg,13,10,201.67428884544734,20.167428884544734,4,7,L
test,SNGS-126,000001.jpg,8,9,211.87973754034255,23.54219306003806,5,4,L
test,SNGS-129,000313.jpg,14,10,196.78327028516708,19.67832702851671,2,6,L
test,SNGS-132,000576.jpg,33,10,635.9102808476064,63.59102808476064,7,30,L
test,SNGS-135,000361.jpg,9,10,235.64522180000483,23.564522180000484,7,6,L
test,SNGS-136,000466.jpg,17,10,323.2344257541683,32.32344257541683,6,13,L
test,SNGS-145,000640.jpg,6,7,132.6305215528133,18.947217364687614,3,2,L
test,SNGS-146,000249.jpg,11,10,239.63399414535638,23.963399414535637,5,6,L
test,SNGS-147,000274.jpg,4,7,125.84465683527151,17.9778081193245,4,1,L
test,SNGS-148,000617.jpg,11,10,263.21562587780585,26.321562587780583,6,7,L
test,SNGS-189,000410.jpg,10,8,212.25728821041534,26.532161026301917,4,6,L
test,SNGS-192,000001.jpg,16,10,292.84680670237094,29.284680670237094,3,9,L
test,SNGS-193,000259.jpg,28,10,432.6696497160723,43.26696497160723,2,20,L
test,SNGS-196,000001.jpg,16,9,331.81104430949455,36.86789381216606,4,11,L
test,SNGS-200,000316.jpg,34,10,575.4991379351001,57.54991379351001,2,26,L
valid,SNGS-022,000060.jpg,6,8,194.8111299384159,24.351391242301986,6,4,L
valid,SNGS-024,000076.jpg,5,6,165.0,27.5,6,5,L
valid,SNGS-025,000304.jpg,5,9,136.49818572608226,15.166465080675806,5,1,L
valid,SNGS-026,000001.jpg,11,10,315.0,31.5,10,11,L
valid,SNGS-027,000366.jpg,8,10,270.0,27.0,10,8,L
valid,SNGS-031,000309.jpg,18,10,267.17552684962703,26.717552684962705,2,10,L
valid,SNGS-032,000001.jpg,7,7,150.2791826230248,21.468454660432116,4,4,L
valid,SNGS-036,000639.jpg,11,10,302.542092907458,30.254209290745802,8,9,L
valid,SNGS-041,000023.jpg,16,10,363.4458956771579,36.34458956771579,8,14,L
