split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,5.644424534681848,1.1288849069363696,0,0,L
test,SNGS-136,000597.jpg,3,4,15.917415082843455,3.9793537707108637,1,0,L
test,SNGS-136,000674.jpg,4,3,16.972159564993316,5.657386521664439,0,1,L
test,SNGS-137,000001.jpg,1,1,0.37059140302855653,0.37059140302855653,0,0,L
test,SNGS-137,000065.jpg,1,1,0.39772272931733854,0.39772272931733854,0,0,L
test,SNGS-137,000130.jpg,1,1,0.10565570371360855,0.10565570371360855,0,0,L
test,SNGS-145,000650.jpg,5,5,6.573942735321132,1.3147885470642264,0,0,L
test,SNGS-145,000683.jpg,3,3,4.530724628537767,1.5102415428459224,0,0,L
test,SNGS-145,000717.jpg,2,2,1.3393828751203651,0.6696914375601826,0,0,L
test,SNGS-146,000550.jpg,4,5,16.922868840585664,3.384573768117133,1,0,L
test,SNGS-146,000617.jpg,4,4,1.6803365572781694,0.42008413931954236,0,0,L
test,SNGS-146,000684.jpg,3,3,1.6114085314946625,0.5371361771648875,0,0,L
test,SNGS-147,000001.jpg,3,3,1.9429709972591274,0.6476569990863758,0,0,L
test,SNGS-147,000087.jpg,3,3,2.1836265066611045,0.7278755022203681,0,0,L
test,SNGS-147,000173.jpg,3,3,2.9156986167986174,0.9718995389328725,0,0,L
test,SNGS-148,000636.jpg,4,5,16.51511451834683,3.3030229036693664,1,0,L
test,SNGS-148,000649.jpg,5,5,1.9561819514471432,0.39123639028942864,0,0,L
test,SNGS-148,000662.jpg,4,5,17.001815407600382,3.4003630815200765,1,0,L
test,SNGS-196,000117.jpg,4,5,19.79266629039993,3.958533258079986,1,0,L
test,SNGS-196,000133.jpg,4,5,20.147339744877744,4.029467948975549,1,0,L
test,SNGS-196,000150.jpg,3,5,34.587665387711795,6.917533077542359,2,0,L
valid,SNGS-022,000231.jpg,5,5,4.5911891309931345,0.9182378261986269,0,0,L
valid,SNGS-022,000235.jpg,5,5,7.873030169425347,1.5746060338850694,0,0,L
valid,SNGS-022,000239.jpg,5,5,7.587803063560128,1.5175606127120256,0,0,L
valid,SNGS-024,000072.jpg,5,5,11.784412620548547,2.3568825241097096,0,0,L
valid,SNGS-024,000105.jpg,4,5,23.40175622839646,4.680351245679292,1,0,L
