split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,51.53755935970315,10.30751187194063,0,0,L
test,SNGS-136,000597.jpg,4,4,53.154846780223004,13.288711695055751,0,0,L
test,SNGS-136,000674.jpg,4,3,70.45522791077917,23.485075970259725,1,2,L
test,SNGS-137,000001.jpg,1,1,28.326037118036897,28.326037118036897,0,0,L
test,SNGS-137,000065.jpg,1,1,28.934762484189324,28.934762484189324,0,0,L
test,SNGS-137,000130.jpg,1,1,9.93733165018844,9.93733165018844,0,0,L
test,SNGS-145,000650.jpg,5,5,105.19226916438558,21.038453832877117,2,2,L
test,SNGS-145,000683.jpg,3,3,40.6025990007243,13.5341996669081,0,0,L
test,SNGS-145,000717.jpg,2,2,23.420077840296795,11.710038920148397,0,0,L
test,SNGS-146,000550.jpg,5,5,67.92322517919489,13.584645035838978,0,0,L
test,SNGS-146,000617.jpg,4,4,120.0,30.0,4,4,L
test,SNGS-146,000684.jpg,3,3,41.309187116750614,13.769729038916871,0,0,L
test,SNGS-147,000001.jpg,3,3,47.11544436393985,15.705148121313284,0,0,L
test,SNGS-147,000087.jpg,3,3,90.0,30.0,3,3,L
test,SNGS-147,000173.jpg,3,3,49.11186270464963,16.370620901549877,1,1,L
test,SNGS-148,000636.jpg,6,5,98.45443819293608,19.690887638587217,1,2,L
test,SNGS-148,000649.jpg,5,5,101.86636431096198,20.373272862192398,1,1,L
test,SNGS-148,000662.jpg,5,5,76.23158851555732,15.246317703111464,0,0,L
test,SNGS-196,000117.jpg,6,5,63.16989956643795,12.63397991328759,0,1,L
test,SNGS-196,000133.jpg,5,5,113.71470090860232,22.742940181720463,2,2,L
test,SNGS-196,000150.jpg,5,5,67.20015264137461,13.440030528274923,0,0,L
valid,SNGS-022,000231.jpg,5,5,65.39003124958623,13.078006249917246,0,0,L
valid,SNGS-022,000235.jpg,5,5,63.590026471919685,12.718005294383937,0,0,L
valid,SNGS-022,000239.jpg,5,5,51.616029558428465,10.323205911685694,0,0,L
valid,SNGS-024,000072.jpg,5,5,138.30565836620178,27.661131673240355,3,3,L
valid,SNGS-024,000105.jpg,5,5,65.97461940510289,13.194923881020577,1,1,L
valid,SNGS-024,000128.jpg,5,5,107.02218203693063,21.404436407386125,0,0,L
valid,SNGS-054,000584.jpg,4,5,77.15218146356906,15.430436292713813,1,0,L
valid,SNGS-054,000611.jpg,6,5,72.57229475202845,14.514458950405691,0,1,L
valid,SNGS-054,000639.jpg,5,5,65.77332480066651,13.154664960133303,0,0,L
valid,SNGS-084,000706.jpg,5,5,116.67958491860111,23.33591698372022,3,3,L
valid,SNGS-084,000707.jpg,5,5,141.45237520719226,28.29047504143845,3,3,L
valid,SNGS-084,000708.jpg,5,5,147.4199499430673,29.483989988613462,4,4,L
test,SNGS-120,000290.jpg,13,12,177.19897740765987,14.766581450638322,2,3,L
test,SNGS-123,000020.jpg,11,11,211.5936748443188,19.2357886222108,3,3,L
test,SNGS-126,000330.jpg,12,12,177.68531208391084,14.807109340325903,2,2,L
test,SNGS-135,000251.jpg,13,15,108.23514802807756,7.215676535205171,2,0,L
test,SNGS-136,000310.jpg,16,15,289.7955543520336,19.319703623468907,4,5,L
test,SNGS-142,000391.jpg,15,14,142.45792253379176,10.17556589527084,0,1,L
test,SNGS-146,000330.jpg,11,11,190.5287992841446,17.32079993492224,3,3,L
test,SNGS-147,000636.jpg,11,11,142.30874305359302,12.937158459417548,0,0,L
test,SNGS-148,000610.jpg,14,14,131.16371393449379,9.368836709606699,0,0,L
test,SNGS-189,000446.jpg,11,11,177.46421864214358,16.133110785649418,3,3,L
test,SNGS-192,000106.jpg,12,11,153.07895958967242,13.916269053606584,1,2,L
test,SNGS-193,000227.jpg,15,15,183.89149490168478,12.259432993445651,0,0,L
valid,SNGS-024,000442.jpg,12,12,286.5102176878936,23.875851473991133,8,8,L
valid,SNGS-025,000281.jpg,16,15,465.0,31.0,15,16,L
valid,SNGS-026,000041.jpg,11,11,330.0,30.0,11,11,L
valid,SNGS-032,000153.jpg,11,11,258.01164774565234,23.455604340513847,6,6,L
valid,SNGS-036,000459.jpg,15,15,391.68504364961257,26.112336243307503,11,11,L
valid,SNGS-039,000378.jpg,17,15,225.36861026724364,15.024574017816242,2,4,L
valid,SNGS-041,000001.jpg,13,11,224.07320834955732,20.370291668141576,3,5,L
valid,SNGS-043,000042.jpg,13,15,254.59760294499048,16.97317352966603,6,4,L
valid,SNGS-044,000083.jpg,16,15,168.21307683406792,11.214205122271194,1,2,L
valid,SNGS-045,000197.jpg,16,12,254.7966550003685,21.23305458336404,2,6,L
valid,SNGS-046,000072.jpg,17,15,280.97883910744906,18.73192260716327,3,5,L
valid,SNGS-047,000590.jpg,17,15,369.4981614277052,24.633210761847014,5,7,L
valid,SNGS-053,000077.jpg,17,15,259.0710790089063,17.27140526726042,3,5,L
valid,SNGS-078,000001.jpg,15,13,271.2325772593273,20.864044404563636,5,7,L
valid,SNGS-083,000290.jpg,15,15,276.26803352791586,18.41786890186106,5,5,L
valid,SNGS-084,000272.jpg,15,15,244.2195767066267,16.28130511377511,5,5,L
valid,SNGS-091,000001.jpg,17,13,315.61463400550826,24.278048769654482,4,8,L
valid,SNGS-092,000606.jpg,16,15,230.02408261370454,15.334938840913635,2,3,L
valid,SNGS-094,000654.jpg,16,15,387.17023910710975,25.811349273807316,7,8,L
test,SNGS-131,000001.jpg,18,17,318.6558503861201,18.744461787418828,3,4,L
test,SNGS-132,000452.jpg,18,18,257.8336043527514,14.324089130708412,4,4,L
test,SNGS-135,000001.jpg,16,19,174.83559685624846,9.201873518749919,3,0,L
test,SNGS-136,000303.jpg,14,16,248.8577524121621,15.553609525760132,6,4,L
test,SNGS-142,000001.jpg,14,16,450.0,28.125,16,14,L
test,SNGS-145,000001.jpg,16,18,333.48147175779354,18.52674843098853,7,5,L
test,SNGS-192,000168.jpg,15,17,248.57658769153824,14.622152217149308,6,4,L
test,SNGS-193,000001.jpg,18,18,243.3910734289511,13.521726301608394,1,1,L
test,SNGS-195,000532.jpg,18,16,261.3684752718235,16.33552970448897,3,5,L
test,SNGS-198,000001.jpg,18,19,292.61104027003717,15.400581066844062,4,3,L
test,SNGS-200,000225.jpg,19,17,246.4803254139281,14.498842671407536,1,3,L
valid,SNGS-021,000355.jpg,16,17,213.74152812306977,12.573031066062928,4,3,L
valid,SNGS-026,000188.jpg,15,16,465.0,29.0625,16,15,L
valid,SNGS-027,000001.jpg,18,19,130.662892508173,6.876994342535421,1,0,L
valid,SNGS-031,000342.jpg,14,16,251.07617351892253,15.692260844932658,5,3,L
valid,SNGS-036,000424.jpg,19,23,365.35335927779096,15.884928664251781,8,4,L
valid,SNGS-043,000001.jpg,22,18,362.83136084168035,20.157297824537796,5,9,L
valid,SNGS-044,000001.jpg,19,17,327.92614749045066,19.289773381791214,4,6,L
valid,SNGS-045,000273.jpg,15,16,187.57830423631512,11.723644014769695,2,1,L
valid,SNGS-046,000046.jpg,17,16,254.74905206605024,15.92181575412814,3,4,L
valid,SNGS-047,000384.jpg,22,17,439.6160499852688,25.85976764619228,7,12,L
valid,SNGS-050,000001.jpg,19,20,276.60611536097286,13.830305768048643,2,1,L
valid,SNGS-057,000001.jpg,19,20,188.40206393502842,9.420103196751421,2,1,L
valid,SNGS-078,000160.jpg,13,16,199.52556788548043,12.470347992842527,5,2,L
valid,SNGS-083,000271.jpg,18,17,269.2350238878476,15.837354346343977,4,5,L
valid,SNGS-084,000257.jpg,18,17,166.5142645414255,9.794956737730912,1,2,L
valid,SNGS-087,000056.jpg,16,16,373.32399831760137,23.332749894850085,9,9,L
valid,SNGS-089,000621.jpg,21,19,413.2790140659655,21.75152705610345,7,9,L
valid,SNGS-091,000233.jpg,16,16,230.6681272505071,14.416757953156694,3,3,L
valid,SNGS-092,000001.jpg,17,18,240.12772458573127,13.340429143651738,4,3,L
valid,SNGS-093,000001.jpg,17,17,264.333685353076,15.549040314886824,1,1,L
valid,SNGS-094,000518.jpg,19,17,463.5032554042543,27.26489737672084,12,14,L
test,SNGS-120,000305.jpg,10,10,201.0814812608579,20.10814812608579,4,4,L
test,SNGS-123,000001.jpg,10,10,300.0,30.0,10,10,L
test,SNGS-126,000001.jpg,10,9,99.10836022880875,11.012040025423195,0,1,L
test,SNGS-129,000313.jpg,11,10,128.4826696520119,12.84826696520119,0,1,L
test,SNGS-132,000576.jpg,12,10,145.8794962670401,14.587949626704011,0,2,L
test,SNGS-135,000361.jpg,13,10,258.35352702652585,25.835352702652585,1,4,L
test,SNGS-136,000466.jpg,12,10,159.1408694346356,15.914086943463559,0,2,L
test,SNGS-145,000640.jpg,6,7,126.44228511288429,18.0631835875549,2,1,L
test,SNGS-146,000249.jpg,10,10,157.33712154648907,15.733712154648908,2,2,L
