split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,6,5,130.94003225457413,26.188006450914827,3,4,L
test,SNGS-136,000597.jpg,4,4,84.89428313769193,21.223570784422982,1,1,L
test,SNGS-136,000674.jpg,4,3,97.81228951514841,32.60409650504947,2,3,L
test,SNGS-137,000001.jpg,1,1,4.199224963860289,4.199224963860289,0,0,L
test,SNGS-137,000065.jpg,1,1,23.124639391100885,23.124639391100885,0,0,L
test,SNGS-137,000130.jpg,2,1,35.51267542779048,35.51267542779048,0,1,L
test,SNGS-145,000650.jpg,5,5,125.07208161888256,25.014416323776512,3,3,L
test,SNGS-145,000683.jpg,3,3,59.39899783030537,19.799665943435123,1,1,L
test,SNGS-145,000717.jpg,2,2,16.568397761850207,8.284198880925103,0,0,L
test,SNGS-146,000550.jpg,6,5,64.2871324889785,12.8574264977957,0,1,L
test,SNGS-146,000617.jpg,5,4,46.55079795039521,11.637699487598802,0,1,L
test,SNGS-146,000684.jpg,3,3,21.214201485668816,7.071400495222939,0,0,L
test,SNGS-147,000001.jpg,3,3,61.25741905850526,20.41913968616842,0,0,L
test,SNGS-147,000087.jpg,3,3,64.056918403554,21.352306134518,0,0,L
test,SNGS-147,000173.jpg,2,3,64.48064505901257,21.49354835300419,1,0,L
test,SNGS-148,000636.jpg,5,5,82.82137581782484,16.564275163564968,1,1,L
test,SNGS-148,000649.jpg,6,5,76.46942741985669,15.293885483971337,0,1,L
test,SNGS-148,000662.jpg,4,5,110.01681492754487,22.003362985508975,2,1,L
test,SNGS-196,000117.jpg,6,5,159.40141464676267,31.880282929352536,4,5,L
test,SNGS-196,000133.jpg,7,5,180.0,36.0,5,7,L
test,SNGS-196,000150.jpg,6,5,159.0324448161724,31.80648896323448,4,5,L
valid,SNGS-022,000231.jpg,6,5,121.60016251805978,24.320032503611955,3,4,L
valid,SNGS-022,000235.jpg,5,5,115.07520637299426,23.01504127459885,3,3,L
valid,SNGS-022,000239.jpg,6,5,128.05802190255264,25.611604380510528,3,4,L
valid,SNGS-024,000072.jpg,6,5,165.0,33.0,5,6,L
valid,SNGS-024,000105.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-024,000128.jpg,7,5,180.0,36.0,5,7,L
valid,SNGS-054,000584.jpg,6,5,128.14581636706373,25.629163273412747,3,4,L
valid,SNGS-054,000611.jpg,7,5,136.7965174649292,27.359303492985838,0,2,L
valid,SNGS-054,000639.jpg,6,5,133.50709234210112,26.701418468420222,2,3,L
valid,SNGS-084,000706.jpg,8,5,176.7806995453501,35.35613990907002,3,6,L
valid,SNGS-084,000707.jpg,7,5,173.83690468578163,34.767380937156325,4,6,L
valid,SNGS-084,000708.jpg,6,5,158.83654439524025,31.767308879048052,4,5,L
test,SNGS-120,000290.jpg,12,12,182.22168640422922,15.185140533685768,3,3,L
test,SNGS-123,000020.jpg,11,11,258.5482752273476,23.504388657031598,7,7,L
test,SNGS-126,000330.jpg,11,12,228.51036274632253,19.042530228860212,5,4,L
test,SNGS-135,000251.jpg,11,15,207.77631319857323,13.851754213238216,5,1,L
test,SNGS-136,000310.jpg,15,15,381.72198135173045,25.44813209011536,9,9,L
test,SNGS-142,000391.jpg,12,14,293.14317515069865,20.938798225049904,9,7,L
test,SNGS-146,000330.jpg,10,11,169.38220371677494,15.398382156070449,4,3,L
test,SNGS-147,000636.jpg,9,11,200.1794523253035,18.198132029573046,6,4,L
test,SNGS-148,000610.jpg,12,14,325.54279555105285,23.253056825075202,9,7,L
test,SNGS-189,000446.jpg,10,11,227.07180702590765,20.642891547809786,5,4,L
test,SNGS-192,000106.jpg,10,11,213.32131462566645,19.392846784151494,5,4,L
test,SNGS-193,000227.jpg,14,15,249.15824577393482,16.610549718262323,6,5,L
valid,SNGS-024,000442.jpg,10,12,317.8699163776571,26.489159698138092,10,8,L
valid,SNGS-025,000281.jpg,12,15,361.2587657326077,24.08391771550718,12,9,L
valid,SNGS-026,000041.jpg,11,11,275.92873438732073,25.08443039884734,7,7,L
valid,SNGS-032,000153.jpg,10,11,222.11515306948573,20.19228664268052,4,3,L
valid,SNGS-036,000459.jpg,12,15,237.18190815911896,15.812127210607931,5,2,L
valid,SNGS-039,000378.jpg,12,15,338.73749016317186,22.582499344211456,11,8,L
valid,SNGS-041,000001.jpg,10,11,258.12720790180913,23.466109809255375,7,6,L
valid,SNGS-043,000042.jpg,11,15,240.7080470131134,16.04720313420756,6,2,L
valid,SNGS-044,000083.jpg,13,15,281.27529505840084,18.751686337226722,7,5,L
valid,SNGS-045,000197.jpg,13,12,215.61482008255743,17.967901673546454,5,6,L
valid,SNGS-046,000072.jpg,14,15,180.02019698793714,12.001346465862476,3,2,L
valid,SNGS-047,000590.jpg,12,15,304.975685531319,20.3317123687546,9,6,L
valid,SNGS-053,000077.jpg,12,15,268.072852461595,17.871523497439668,7,4,L
valid,SNGS-078,000001.jpg,13,13,334.1059949293568,25.700461148412064,8,8,L
valid,SNGS-083,000290.jpg,13,15,285.13612167677394,19.009074778451595,8,6,L
valid,SNGS-084,000272.jpg,14,15,216.65292291732572,14.443528194488382,3,2,L
valid,SNGS-091,000001.jpg,12,13,340.8866209274347,26.222047763648824,9,8,L
valid,SNGS-092,000606.jpg,14,15,222.58579091852718,14.839052727901812,3,2,L
valid,SNGS-094,000654.jpg,16,15,300.76334933640675,20.05088995576045,5,6,L
test,SNGS-131,000001.jpg,13,17,394.17070100468925,23.18651182380525,13,9,L
test,SNGS-132,000452.jpg,13,18,261.411024064904,14.522834670272443,9,4,L
test,SNGS-135,000001.jpg,15,19,318.14242212187537,16.744338006414495,11,7,L
