split,clip,frame,n_pred,n_gt,gospa,gospa_normalized,missed,false,direction
test,SNGS-136,000521.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-136,000597.jpg,3,4,101.88831637135904,25.47207909283976,3,2,L
test,SNGS-136,000674.jpg,3,3,82.35447010070881,27.451490033569602,2,2,L
test,SNGS-137,000001.jpg,1,1,30.0,30.0,1,1,L
test,SNGS-137,000065.jpg,1,1,30.0,30.0,1,1,L
test,SNGS-137,000130.jpg,1,1,4.342019857366087,4.342019857366087,0,0,L
test,SNGS-145,000650.jpg,5,5,109.15650234429718,21.831300468859435,3,3,L
test,SNGS-145,000683.jpg,3,3,72.78473644588149,24.26157881529383,1,1,L
test,SNGS-145,000717.jpg,2,2,33.225564537520626,16.612782268760313,0,0,L
test,SNGS-146,000550.jpg,5,5,145.72673961077717,29.145347922155434,4,4,L
test,SNGS-146,000617.jpg,4,4,116.85158957632912,29.21289739408228,3,3,L
test,SNGS-146,000684.jpg,3,3,87.70703182728467,29.235677275761557,2,2,L
test,SNGS-147,000001.jpg,3,3,82.08988527866535,27.36329509288845,2,2,L
test,SNGS-147,000087.jpg,3,3,79.02025824621256,26.340086082070854,1,1,L
test,SNGS-147,000173.jpg,3,3,61.862450759490414,20.620816919830137,1,1,L
test,SNGS-148,000636.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000649.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-148,000662.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-196,000117.jpg,6,5,134.90998877066113,26.981997754132227,2,3,L
test,SNGS-196,000133.jpg,5,5,121.03336593206737,24.206673186413475,1,1,L
test,SNGS-196,000150.jpg,5,5,124.44424658421363,24.888849316842727,1,1,L
valid,SNGS-022,000231.jpg,5,5,142.34424429862787,28.468848859725576,4,4,L
valid,SNGS-022,000235.jpg,5,5,144.1114301011585,28.8222860202317,4,4,L
valid,SNGS-022,000239.jpg,5,5,146.90061139838605,29.38012227967721,4,4,L
valid,SNGS-024,000072.jpg,5,5,127.6137616376059,25.522752327521182,1,1,L
valid,SNGS-024,000105.jpg,4,5,105.41349083268679,21.08269816653736,1,0,L
valid,SNGS-024,000128.jpg,6,5,114.31427432636524,22.862854865273047,0,1,L
valid,SNGS-054,000584.jpg,4,5,111.49051313706305,22.29810262741261,3,2,L
valid,SNGS-054,000611.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-054,000639.jpg,5,5,146.1192551059027,29.223851021180543,4,4,L
valid,SNGS-084,000706.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000707.jpg,5,5,150.0,30.0,5,5,L
valid,SNGS-084,000708.jpg,5,5,150.0,30.0,5,5,L
test,SNGS-120,000290.jpg,13,12,201.44351324628218,16.78695943719018,3,4,L
test,SNGS-123,000020.jpg,10,11,253.3822661591897,23.034751469017245,7,6,L
test,SNGS-126,000330.jpg,11,12,229.38717214584202,19.11559767882017,5,4,L
test,SNGS-135,000251.jpg,39,15,810.0,54.0,15,39,L
test,SNGS-136,000310.jpg,0,15,225.0,15.0,15,0,L
test,SNGS-142,000391.jpg,0,14,210.0,15.0,14,0,L
test,SNGS-146,000330.jpg,11,11,187.91062801309755,17.08278436482705,5,5,L
test,SNGS-147,000636.jpg,9,11,210.7530119900635,19.159364726369407,6,4,L
test,SNGS-148,000610.jpg,12,14,336.4703627281481,24.033597337724864,10,8,L
test,SNGS-189,000446.jpg,10,11,271.41388219820175,24.673989290745613,7,6,L
test,SNGS-192,000106.jpg,16,11,341.83924510539157,31.076295009581052,5,10,L
test,SNGS-193,000227.jpg,15,15,439.26157376400596,29.2841049176004,13,13,L
valid,SNGS-024,000442.jpg,0,12,180.0,15.0,12,0,L
valid,SNGS-025,000281.jpg,15,15,447.3453287143034,29.82302191428689,13,13,L
valid,SNGS-026,000041.jpg,11,11,295.4574496689281,26.85976815172074,9,9,L
valid,SNGS-032,000153.jpg,9,11,191.91564753472267,17.446877048611153,5,3,L
valid,SNGS-036,000459.jpg,14,15,293.84436585076185,19.58962439005079,5,4,L
valid,SNGS-039,000378.jpg,27,15,479.05835357319665,31.937223571546443,7,19,L
valid,SNGS-041,000001.jpg,29,11,535.8370614270108,48.71246012972825,6,24,L
valid,SNGS-043,000042.jpg,0,15,225.0,15.0,15,0,L
valid,SNGS-044,000083.jpg,0,15,225.0,15.0,15,0,L
